ID,Name,Prefixes,Tenant,Status,Role,Description,Tags,Group,Site
341,wi2-1,&mdash;,,Active,NOC,Wi2 ESSID: Wi2,Wi-Fi,Titanet,
342,wi2-2,&mdash;,,Active,NOC,Wi2 ESSID: Wi2_club,Wi-Fi,Titanet,
343,wi2-3,&mdash;,,Active,NOC,Wi2 ESSID: FON,Wi-Fi,Titanet,
344,wi2-4,&mdash;,,Reserved,NOC,Wi2用予約,Wi-Fi,Titanet,
351,noc-dns-o-farm,&mdash;,,Active,NOC,DNSレゾルバ (大岡山) SLBファーム用セグメント,,Titanet,
352,noc-proxy-o-serv,&mdash;,,Active,NOC,Webプロキシ (大岡山) SLBサービス用セグメント,,Titanet,
353,noc-proxy-o-farm,&mdash;,,Active,NOC,Webプロキシ (大岡山) SLBファーム用セグメント,,Titanet,
356,noc-serv-s-farm,&mdash;,,Active,NOC,(すずかけ台) SLBファーム用セグメント,,Titanet,
357,pubnet-nat-test,&mdash;,,Active,&mdash;,,,Titanet,
360,noc-m-wlan-o1,172.30.128.0/21,,Active,NOC,Tn4-w AP PoESW 管理セグメントNAT内側 (大岡山1),Private,Titanet,
361,noc-m-wlan-o2,172.30.136.0/21,,Active,NOC,Tn4-w AP PoESW 管理セグメントNAT内側 (大岡山2),Private,Titanet,
362,noc-m-wlan-s1,172.30.160.0/21,,Active,NOC,Tn4-w AP PoESW 管理セグメントNAT内側 (すずかけ台),Private,Titanet,
371,noc-m-share-cert1,172.30.224.0/24,,Active,NOC,CheckPoint (Maestro) 管理用,Private,Titanet,
374,noc-m-share-cert2,172.30.225.0/24,,Active,NOC,BMF (Big Switch) 管理用,Private,Titanet,
389,test-noc-s2,&mdash;,,Active,NOC,test-noc-s2,,Titanet,
390,noc-test-o,&mdash;,,Active,NOC,支線テスト用,,Titanet,
391,noc-mgmt-inter-os,&mdash;,,Active,NOC,管理セグメント間中継セグメント (大岡山-すずかけ台),,Titanet,
468,sisetu.seibi,131.112.248.112/28,,Active,BRANCH,すずかけ台施設総合企画課,Global,Titanet,
469,j-kiban-3,131.112.254.224/28,,Active,BRANCH,情報基盤課事務情報支援グループ,Global,Titanet,
470,infosyenergy-2,131.112.27.192/28,,Active,BRANCH,エネルギー・情報卓越教育院,Global,Titanet,
471,infosyenergy-1,131.112.248.96/28,,Active,BRANCH,エネルギー・情報卓越教育院,Global,Titanet,
472,ofc-3,172.20.36.0/26,,Active,BRANCH,オープンファシリティセンター,Private,Titanet,
473,ofc-2,131.112.85.192/26,,Active,BRANCH,オープンファシリティセンター,Global,Titanet,
474,sisetu.kikaku,131.112.245.208/28,,Active,BRANCH,施設運営部施設総合企画課,Global,Titanet,
475,gsic.vdi-2,172.20.34.0/23,,Active,BRANCH,学術国際情報センター,Private,Titanet,
476,gsic.vdi-1,131.112.244.208/28,,Active,BRANCH,学術国際情報センター,Global,Titanet,
477,ee-4,131.112.113.0/28,,Active,BRANCH,工学院電気電子系,Global,Titanet,
479,oil-2,&mdash;,,Active,BRANCH,"RWBNC-OIL プライベートVLAN, 学術国際情報センター",L2,Titanet,
480,senryaku-1,131.112.244.96/28,,Active,BRANCH,広報・社会連携本部,Global,Titanet,
481,wise-sss-1,131.112.242.128/26,,Active,BRANCH,超スマート社会卓越教育院,Global,Titanet,
482,peecs-1,131.112.248.32/28,,Active,BRANCH,実践型アントレプレナー人材育成プログラム (PEECsネットワーク),Global,Titanet,
484,tac-mi-2,131.112.20.64/27,,Active,BRANCH,物質・情報卓越教育院 (物質・情報卓越教育院南６教員利用ネットワーク),Global,Titanet,
485,somu-2,131.112.248.16/28,,Active,BRANCH,総務部総務課 (総務課会議室用ネットワーク(すずかけ台)),Global,Titanet,
486,somu-1,131.112.242.64/26,,Active,BRANCH,総務部総務課 (総務課会議室用ネットワーク),Global,Titanet,
487,tac-mi-1,131.112.20.0/24,,Active,BRANCH,物質・情報卓越大学院,Global,Titanet,
488,iir-5,131.112.53.64/27,,Active,BRANCH,科学技術創成研究院,Global,Titanet,
489,ksbs-1,131.112.243.96/27,,Active,BRANCH,研究推進部情報基盤課,Global,Titanet,
490,j-kiban-2,&mdash;,,Active,BRANCH,研究院支援課ネットワーク,,Titanet,
491,gsic.cc-12,172.20.80.0/22,,Active,BRANCH,GSIC-EDU2019-南4系,Private,Titanet,
492,gsic.cc-11,172.20.84.0/22,,Active,BRANCH,GSIC-EDU2019-GSIC系,Private,Titanet,
493,gsic.cc-10,172.24.16.0/22,,Active,BRANCH,GSIC-EDU2019-すずかけ台系,Private,Titanet,
494,gsic.cc-9,&mdash;,,Active,BRANCH,GSIC-EDU2019-管理線,,Titanet,
495,koho-1,131.112.244.80/28,,Active,BRANCH,広報・社会連携課,Global,Titanet,
496,eval-1,131.112.245.240/28,,Active,BRANCH,総務部 企画・評価課,Global,Titanet,
498,sangaku-3,172.26.8.0/24,,Active,BRANCH,研究産学連携本部 ORIネットワーク,Private,Titanet,
499,sangaku-2,131.112.249.192/28,,Active,BRANCH,研究・産学連携本部,Global,Titanet,
500,ofc-1,131.112.85.128/26,,Active,BRANCH,オープンファシリティセンター,Global,Titanet,
501,total-3,131.112.240.224/27,,Active,BRANCH,リーダーシップ教育院,Global,Titanet,
502,iir-4,172.26.7.0/24,,Active,BRANCH,科学技術創成研究院,Private,Titanet,
503,iir-3,131.112.170.0/26,,Active,BRANCH,科学技術創成研究院,Global,Titanet,
504,gsic.cc-8,&mdash;,,Active,BRANCH,"GSICホスティング管理線, 学術国際情報センター",,Titanet,
505,gsic.cc-7,&mdash;,,Active,BRANCH,"GSICホスティングストレージ線, 学術国際情報センター",,Titanet,
506,c-1,&mdash;,,Active,BRANCH,数理・計算科学系西8W11階プライベートネットワーク,L2,Titanet,
507,sci-1,131.112.116.0/24,,Active,BRANCH,理学院 地球惑星科学系,Global,Titanet,
508,ctrl-15,131.112.45.0/26,,Active,BRANCH,工学院 システム制御系,Global,Titanet,
509,iir-2,131.112.53.0/26,,Active,BRANCH,科学技術創成研究院 (大岡山共用) 未来産業技術研究所,Global,Titanet,
510,j-kiban-1,131.112.67.128/26,,Active,BRANCH,研究推進部情報基盤課,Global,Titanet,
512,oil-1,131.112.245.192/28,,Active,BRANCH,GSIC 遠藤先生 (RWBC-OIL),Global,Titanet,
513,t2r2-4,172.24.5.0/24,,Active,BRANCH,リサーチリポジトリWG (すずかけ台用),Private,Titanet,
514,iir-1,131.112.182.0/23,,Active,BRANCH,科学技術創成研究院 未来産業技術研究所,Global,Titanet,
515,irds-3,172.20.29.0/24,,Active,BRANCH,IR室,Private,Titanet,
516,mac-1,131.112.48.0/24,,Active,BRANCH,物質理工学院,Global,Titanet,
517,ens-1,172.20.25.192/26,,Active,BRANCH,環境・社会理工学院 融合理工学系,Private,Titanet,
518,dis-9,131.112.137.192/26,,Active,BRANCH,情報理工学院 (旧知能システム科学専攻),Global,Titanet,
519,dis-8,131.112.137.128/26,,Active,BRANCH,情報理工学院 (旧知能システム科学専攻),Global,Titanet,
521,dis-7,131.112.172.192/27,,Active,BRANCH,情報理工学院 (旧知能システム科学専攻),Global,Titanet,
523,iidp-1,172.20.72.0/24,,Active,BRANCH,イノベーション人材養成機構 (IIDP),Private,Titanet,
524,gsic-15,172.20.30.128/25,,Active,BRANCH,,Private,Titanet,
526,gsic-14,131.112.6.128/25,,Active,BRANCH,,Global,Titanet,
528,irds-2,&mdash;,,Active,BRANCH,"情報活用IR室プライベートネットワーク, 情報活用IR室",L2,Titanet,
530,rpd-1,131.112.245.176/28,,Active,BRANCH,研究推進部 研究設備管理・共用化システムネットワーク,Global,Titanet,
532,cert-2,172.20.8.0/24,,Active,BRANCH,情報セキュリティ監査・危機管理専門委員会 (CERT),Private,Titanet,
533,t2r2-3,131.112.245.160/28,,Active,BRANCH,リサーチリポジトリWG (T2R2),Global,Titanet,
534,t2r2-2,172.20.6.0/24,,Active,BRANCH,リサーチリポジトリWG (T2R2),Private,Titanet,
536,elsi-2,&mdash;,,Active,BRANCH,"地球生命プライベートネットワーク, 石川台7号館-石川台8号館",L2,Titanet,
537,cent-2,&mdash;,,Active,BRANCH,"博物館プライベートネットワーク, 百年記念館-本館南間",L2,Titanet,
538,mces-1,&mdash;,,Active,BRANCH,元素戦略研究センター (S8棟監視カメラ用),L2,Titanet,
539,coi-happiness-2,131.112.248.224/28,,Active,BRANCH,以心電心ハピネス共創研究推進機構 (すずかけ台),Global,Titanet,
540,coi-happiness-1,131.112.245.144/28,,Active,BRANCH,以心電心ハピネス共創研究推進機構 (大岡山),Global,Titanet,
541,irds-1,131.112.245.128/28,,Active,BRANCH,IR室 連絡は加藤信也さん (技術職員),Global,Titanet,
542,cradle-4,131.112.43.0/26,,Active,BRANCH,"教育工学開発センター, 青柳研ネットワーク",Global,Titanet,
543,cradle-3,131.112.43.64/26,,Active,BRANCH,"教育工学開発センター, 西方研ネットワーク",Global,Titanet,
546,rcltp-2,172.24.4.0/24,,Active,BRANCH,すずかけ極低温物性センター (予約),Private,Titanet,
552,gakuseisien-4,172.21.5.0/24,,Active,BRANCH,学生支援課 学生支援センター,Private,Titanet,
553,gakuseisien-3,131.112.245.112/28,,Active,BRANCH,学生支援課 学生支援センター,Global,Titanet,
554,cert-1,131.112.245.96/28,,Active,BRANCH,情報セキュリティ監査・危機管理専門委員会 (CERT),Global,Titanet,
555,hum-10,172.20.32.128/25,,Active,BRANCH,人間行動システム専攻,Private,Titanet,
556,hum-9,131.112.87.192/26,,Active,BRANCH,人間行動システム専攻,Global,Titanet,
557,hum-8,131.112.87.128/26,,Active,BRANCH,人間行動システム専攻,Global,Titanet,
558,hum-7,131.112.87.96/27,,Active,BRANCH,人間行動システム専攻,Global,Titanet,
559,hum-6,131.112.87.64/27,,Active,BRANCH,人間行動システム専攻,Global,Titanet,
560,hum-5,131.112.87.0/26,,Active,BRANCH,人間行動システム専攻,Global,Titanet,
