Prefix,Status,Children,VRF,Utilization,Tenant,Site,VLAN,Role,Description,Tags,Prefix (Flat),Depth,Pool,Marked Utilized
"•
        
    

131.112.120.128/26",Active,0,Global,0%,,,mech-2 (803),BRANCH,,Global,131.112.120.128/26,1,False,False
"•
        
    

131.112.120.192/26",Active,0,Global,0%,,,mech-3 (802),BRANCH,,Global,131.112.120.192/26,1,False,False
"•
        
    

131.112.121.0/24",Active,0,Global,0%,,,cv-1 (836),BRANCH,,Global,131.112.121.0/24,1,False,False
"•
        
    

131.112.123.0/26",Active,0,Global,0%,,,envpro-1 (798),BRANCH,,Global,131.112.123.0/26,1,False,False
"•
        
    

131.112.124.0/26",Active,0,Global,0%,,,mech-4 (791),BRANCH,,Global,131.112.124.0/26,1,False,False
"•
        
    

131.112.124.64/26",Active,0,Global,0%,,,mech-5 (790),BRANCH,,Global,131.112.124.64/26,1,False,False
"•
        
    

131.112.124.128/26",Active,0,Global,0%,,,mech-6 (789),BRANCH,,Global,131.112.124.128/26,1,False,False
"•
        
    

131.112.124.192/26",Active,0,Global,0%,,,mech-7 (788),BRANCH,,Global,131.112.124.192/26,1,False,False
"•
        
    

131.112.125.0/24",Active,0,Global,0%,,,noc-serv-o (997),BRANCH,,Global,131.112.125.0/24,1,False,False
"•
        
    

131.112.126.0/24",Active,0,Global,0%,,,noc-life-o (999),BRANCH,,Global,131.112.126.0/24,1,False,False
"•
        
    

131.112.130.0/23",Active,0,Global,0%,,,fcrc-1 (927),BRANCH,,Global,131.112.130.0/23,1,False,False
"•
        
    

131.112.137.0/27",Active,0,Global,0%,,,dis-5 (673),BRANCH,,Global,131.112.137.0/27,1,False,False
"•
        
    

131.112.137.32/27",Active,0,Global,0%,,,dis-4 (692),BRANCH,,Global,131.112.137.32/27,1,False,False
"•
        
    

131.112.137.64/27",Active,0,Global,0%,,,dis-2 (701),BRANCH,,Global,131.112.137.64/27,1,False,False
"•
        
    

131.112.137.128/26",Active,0,Global,0%,,,dis-8 (519),BRANCH,,Global,131.112.137.128/26,1,False,False
"•
        
    

131.112.137.192/26",Active,0,Global,0%,,,dis-9 (518),BRANCH,,Global,131.112.137.192/26,1,False,False
"•
        
    

131.112.140.0/23",Active,0,Global,0%,,,msl-1 (938),BRANCH,,Global,131.112.140.0/23,1,False,False
"•
        
    

131.112.144.0/24",Active,1,Global,0%,,,enveng-2 (862),BRANCH,,Global,131.112.144.0/24,1,False,False
"•
        
            •
        
    

131.112.144.64/28",Active,0,Global,0%,,,bio-17 (706),BRANCH,,Global,131.112.144.64/28,2,False,False
"•
        
    

131.112.146.192/26",Active,0,Global,0%,,,iem-1 (711),BRANCH,,Global,131.112.146.192/26,1,False,False
"•
        
    

131.112.148.0/24",Active,0,Global,0%,,,enveng-1 (914),BRANCH,,Global,131.112.148.0/24,1,False,False
"•
        
    

131.112.149.0/26",Active,0,Global,0%,,,bio-3 (974),BRANCH,,Global,131.112.149.0/26,1,False,False
"•
        
    

131.112.149.64/26",Active,0,Global,0%,,,bio-2 (975),BRANCH,,Global,131.112.149.64/26,1,False,False
"•
        
    

131.112.149.128/26",Active,0,Global,0%,,,bio-1 (976),BRANCH,,Global,131.112.149.128/26,1,False,False
"•
        
    

131.112.150.0/24",Active,0,Global,0%,,,materia-1 (908),BRANCH,,Global,131.112.150.0/24,1,False,False
"•
        
    

131.112.151.0/26",Active,0,Global,0%,,,bio-7 (970),BRANCH,,Global,131.112.151.0/26,1,False,False
"•
        
    

131.112.151.64/26",Active,0,Global,0%,,,bio-13 (855),BRANCH,,Global,131.112.151.64/26,1,False,False
"•
        
    

131.112.151.128/26",Active,0,Global,0%,,,bio-8 (969),BRANCH,,Global,131.112.151.128/26,1,False,False
"•
        
    

131.112.152.0/26",Active,0,Global,0%,,,bio-19 (695),BRANCH,,Global,131.112.152.0/26,1,False,False
"•
        
    

131.112.152.64/26",Active,0,Global,0%,,,bio-15 (718),BRANCH,,Global,131.112.152.64/26,1,False,False
"•
        
    

131.112.152.128/26",Active,0,Global,0%,,,bio-20 (694),BRANCH,,Global,131.112.152.128/26,1,False,False
"•
        
    

131.112.152.192/26",Active,0,Global,0%,,,bio-16 (714),BRANCH,,Global,131.112.152.192/26,1,False,False
"•
        
    

131.112.153.0/26",Active,0,Global,0%,,,bio-5 (972),BRANCH,,Global,131.112.153.0/26,1,False,False
"•
        
    

131.112.153.64/26",Active,0,Global,0%,,,bio-6 (971),BRANCH,,Global,131.112.153.64/26,1,False,False
"•
        
    

131.112.153.128/26",Active,0,Global,0%,,,bio-11 (870),BRANCH,,Global,131.112.153.128/26,1,False,False
"•
        
    

131.112.153.192/26",Active,0,Global,0%,,,bio-14 (794),BRANCH,,Global,131.112.153.192/26,1,False,False
